Country,Year,Series,Value
Republic of Korea,2018,GDP in current prices (millions of US dollars),1724755.0
Republic of Korea,2019,GDP in current prices (millions of US dollars),1651223.0
Republic of Korea,2020,GDP in current prices (millions of US dollars),1637896.0
Republic of Korea,1995,GDP per capita (US dollars),12509.0
Republic of Korea,2005,GDP per capita (US dollars),19197.0
Republic of Korea,2010,GDP per capita (US dollars),23091.0
Republic of Korea,2015,GDP per capita (US dollars),28841.0
Republic of Korea,2018,GDP per capita (US dollars),33705.0
Republic of Korea,2019,GDP per capita (US dollars),32235.0
Republic of Korea,2020,GDP per capita (US dollars),31947.0
Republic of Korea,1995,GDP in constant 2010 prices (millions of US dollars),604638.0
Republic of Korea,2005,GDP in constant 2010 prices (millions of US dollars),1021193.0
Republic of Korea,2010,GDP in constant 2010 prices (millions of US dollars),1261202.0
Republic of Korea,2015,GDP in constant 2010 prices (millions of US dollars),1465773.0
Republic of Korea,2018,GDP in constant 2010 prices (millions of US dollars),1601904.0
Republic of Korea,2019,GDP in constant 2010 prices (millions of US dollars),1637850.0
Republic of Korea,2020,GDP in constant 2010 prices (millions of US dollars),1623895.0
Republic of Korea,1995,GDP real rates of growth (percent),9.6
Republic of Korea,2005,GDP real rates of growth (percent),4.3
Republic of Korea,2010,GDP real rates of growth (percent),6.8
Republic of Korea,2015,GDP real rates of growth (percent),2.8
Republic of Korea,2018,GDP real rates of growth (percent),2.9
Republic of Korea,2019,GDP real rates of growth (percent),2.2
Republic of Korea,2020,GDP real rates of growth (percent),-0.9
Singapore,1995,GDP in current prices (millions of US dollars),87813.0
Singapore,2005,GDP in current prices (millions of US dollars),127808.0
Singapore,2010,GDP in current prices (millions of US dollars),239808.0
Singapore,2015,GDP in current prices (millions of US dollars),307999.0
Singapore,2018,GDP in current prices (millions of US dollars),375970.0
Singapore,2019,GDP in current prices (millions of US dollars),374398.0
Singapore,2020,GDP in current prices (millions of US dollars),339988.0
Singapore,1995,GDP per capita (US dollars),24905.0
Singapore,2005,GDP per capita (US dollars),29962.0
Singapore,2010,GDP per capita (US dollars),46736.0
Singapore,2015,GDP per capita (US dollars),55077.0
Singapore,2018,GDP per capita (US dollars),65301.0
Singapore,2019,GDP per capita (US dollars),64503.0
Singapore,2020,GDP per capita (US dollars),58114.0
Singapore,1995,GDP in constant 2010 prices (millions of US dollars),107026.0
Singapore,2005,GDP in constant 2010 prices (millions of US dollars),177990.0
Singapore,2010,GDP in constant 2010 prices (millions of US dollars),247073.0
Singapore,2015,GDP in constant 2010 prices (millions of US dollars),307999.0
Singapore,2018,GDP in constant 2010 prices (millions of US dollars),344272.0
Singapore,2019,GDP in constant 2010 prices (millions of US dollars),348903.0
Singapore,2020,GDP in constant 2010 prices (millions of US dollars),330094.0
Singapore,1995,GDP real rates of growth (percent),7.2
Singapore,2005,GDP real rates of growth (percent),7.4
Singapore,2010,GDP real rates of growth (percent),14.5
Singapore,2015,GDP real rates of growth (percent),3.0
Singapore,2018,GDP real rates of growth (percent),3.5
Singapore,2019,GDP real rates of growth (percent),1.3
Singapore,2020,GDP real rates of growth (percent),-5.4
